Well	Value	Value2	Measurement_mode	Measurement_wavelength	Row	Row_num	Column	Strain	SM	Time	Time2	Expe	Media	Species	Kingdom	Phylum	Class	Order	Family	Genus
D3	0.0866	0.0866	Absorbance	600	D	4	3	R147	Control	T0	0	Chamber	Soil_Wash	Bacillus sp.	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
D4	0.0865	0.0865	Absorbance	600	D	4	4	R147	Control	T0	0	Chamber	Soil_Wash	Bacillus sp.	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
C9	0.0855	0.0855	Absorbance	600	C	3	9	BFSC	Control	T0	0	Chamber	Soil_Wash	BFSC	Bacteria Fungi	BFSC	BFSC	BFSC	BFSC	BFSC
C10	0.0861	0.0861	Absorbance	600	C	3	10	BFSC	Control	T0	0	Chamber	Soil_Wash	BFSC	Bacteria Fungi	BFSC	BFSC	BFSC	BFSC	BFSC
C11	0.0844	0.0844	Absorbance	600	C	3	11	BFSC	Control	T0	0	Chamber	Soil_Wash	BFSC	Bacteria Fungi	BFSC	BFSC	BFSC	BFSC	BFSC
G5	0.0859	0.0859	Absorbance	600	G	7	5	BSC	Control	T0	0	Chamber	Soil_Wash	BSC	Bacteria	BSC	BSC	BSC	BSC	BSC
G6	0.0871	0.0871	Absorbance	600	G	7	6	BSC	Control	T0	0	Chamber	Soil_Wash	BSC	Bacteria	BSC	BSC	BSC	BSC	BSC
G7	0.0861	0.0861	Absorbance	600	G	7	7	BSC	Control	T0	0	Chamber	Soil_Wash	BSC	Bacteria	BSC	BSC	BSC	BSC	BSC
C2	0.0835	0.0835	Absorbance	600	C	3	2	R16	Control	T0	0	Chamber	Soil_Wash	Burkholderia sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Methylibium
C3	0.0837	0.0837	Absorbance	600	C	3	3	R16	Control	T0	0	Chamber	Soil_Wash	Burkholderia sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Methylibium
C4	0.0841	0.0841	Absorbance	600	C	3	4	R16	Control	T0	0	Chamber	Soil_Wash	Burkholderia sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Methylibium
E9	0.09	0.09	Absorbance	600	E	5	9	F147	Control	T0	0	Chamber	Soil_Wash	Dactylonectria macrodidyma	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ilyonectria
E10	0.0902	0.0902	Absorbance	600	E	5	10	F147	Control	T0	0	Chamber	Soil_Wash	Dactylonectria macrodidyma	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ilyonectria
E11	0.0872	0.0872	Absorbance	600	E	5	11	F147	Control	T0	0	Chamber	Soil_Wash	Dactylonectria macrodidyma	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ilyonectria
G9	0.0843	0.0843	Absorbance	600	G	7	9	F243	Control	T0	0	Chamber	Soil_Wash	Dendryphion nanum	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Dendryphion
G10	0.086	0.086	Absorbance	600	G	7	10	F243	Control	T0	0	Chamber	Soil_Wash	Dendryphion nanum	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Dendryphion
G11	0.0839	0.0839	Absorbance	600	G	7	11	F243	Control	T0	0	Chamber	Soil_Wash	Dendryphion nanum	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Dendryphion
G2	0.0845	0.0845	Absorbance	600	G	7	2	R420	Control	T0	0	Chamber	Soil_Wash	Flavobacterium sp.	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
G3	0.0844	0.0844	Absorbance	600	G	7	3	R420	Control	T0	0	Chamber	Soil_Wash	Flavobacterium sp.	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
G4	0.0839	0.0839	Absorbance	600	G	7	4	R420	Control	T0	0	Chamber	Soil_Wash	Flavobacterium sp.	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
B9	0.0838	0.0838	Absorbance	600	B	2	9	FSC	Control	T0	0	Chamber	Soil_Wash	FSC	Fungi	FSC	FSC	FSC	FSC	FSC
B10	0.0843	0.0843	Absorbance	600	B	2	10	FSC	Control	T0	0	Chamber	Soil_Wash	FSC	Fungi	FSC	FSC	FSC	FSC	FSC
