	Sample_ID	Pump	Chamber	Condition	Community	Failed	Bin	tO	Flow_t0	t15	Flow_t15	t25	Flow_t25	t39	Flow_t39	t48	Flow_t48	t63	Flow_t63	t72	Flow_t72
	C2-1	P2	Theeth	ARE	BFSC	ok	1	0	5.722222222	5150	5.722222222	3300	5.5	4250	5.05952381	3000	5.555555556	5100	5.666666667	2800	5.185185185
	C2-2	P2	Theeth	ARE	BFSC	ok	1	0	5.944444444	5350	5.944444444	3300	5.5	4400	5.238095238	2850	5.277777778	5100	5.666666667	2800	5.185185185
	C2-3	P2	Theeth	ARE	BFSC	ok	1	0	6.055555556	5450	6.055555556	3350	5.583333333	4400	5.238095238	3150	5.833333333	5100	5.666666667	2800	5.185185185
	C2-4	P2	Theeth	ARE	BFSC	ok	1	0	5.833333333	5250	5.833333333	3300	5.5	4400	5.238095238	2900	5.37037037	5150	5.722222222	2850	5.277777778
	C2-5	P2	Theeth	ARE	BFSC	ok	1	0	5.777777778	5200	5.777777778	3300	5.5	4250	5.05952381	3100	5.740740741	5150	5.722222222	2850	5.277777778
	C2-6	P2	Theeth	ARE	BFSC	failed	0	0	5.722222222	5150	5.722222222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	C2-7	P2	Theeth	ARE	BFSC	ok	1	0	5.833333333	5250	5.833333333	3350	5.583333333	4400	5.238095238	3000	5.555555556	5200	5.777777778	2900	5.37037037
	C2-8	P2	Theeth	ARE	BFSC	ok	1	0	5.777777778	5200	5.777777778	3350	5.583333333	4400	5.238095238	2950	5.462962963	5200	5.777777778	2900	5.37037037
	C2-9	P2	Theeth	ARE	BFSC	ok	1	0	5.944444444	5350	5.944444444	3350	5.583333333	4250	5.05952381	2950	5.462962963	5200	5.777777778	2900	5.37037037
	C2-10	P2	Theeth	ARE	BFSC	ok	1	0	5.777777778	5200	5.777777778	3300	5.5	4300	5.119047619	2950	5.462962963	5250	5.833333333	2950	5.462962963
	C2-11	P2	Theeth	ARE	BFSC	ok	1	0	5.666666667	5100	5.666666667	3300	5.5	4400	5.238095238	3100	5.740740741	5250	5.833333333	2950	5.462962963
	C2-12	P2	Theeth	ARE	BFSC	ok	1	0	5.777777778	5200	5.777777778	3300	5.5	4350	5.178571429	3000	5.555555556	5250	5.833333333	2950	5.462962963
1	C1-1	P3	Flat	ARE	MgCL2	failed	0	0	5.888888889	5300	5.888888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	C1-2	P3	Flat	ARE	MgCL2	ok	1	0	5.777777778	5200	5.777777778	3350	5.583333333	4300	5.119047619	3150	5.833333333	4850	5.388888889	2800	5.185185185
3	C1-3	P3	Flat	ARE	MgCL2	ok	1	0	5.777777778	5200	5.777777778	3350	5.583333333	4400	5.238095238	2900	5.37037037	4850	5.388888889	2800	5.185185185
4	C1-4	P3	Flat	ARE	MgCL2	ok	1	0	5.777777778	5200	5.777777778	3300	5.5	4350	5.178571429	2850	5.277777778	4950	5.5	2850	5.277777778
5	C1-5	P3	Flat	ARE	MgCL2	ok	1	0	5.888888889	5300	5.888888889	3300	5.5	4250	5.05952381	2950	5.462962963	4950	5.5	2850	5.277777778
6	C1-6	P3	Flat	ARE	MgCL2	ok	1	0	5.944444444	5350	5.944444444	3300	5.5	4300	5.119047619	2950	5.462962963	4950	5.5	2850	5.277777778
7	C1-7	P3	Flat	ARE	MgCL2	ok	1	0	5.833333333	5250	5.833333333	3300	5.5	4400	5.238095238	3150	5.833333333	5000	5.555555556	2900	5.37037037
8	C1-8	P3	Flat	ARE	MgCL2	ok	1	0	5.722222222	5150	5.722222222	3300	5.5	4400	5.238095238	3000	5.555555556	5000	5.555555556	2900	5.37037037
9	C1-9	P3	Flat	ARE	MgCL2	ok	1	0	5.611111111	5050	5.611111111	3300	5.5	4400	5.238095238	3050	5.648148148	5000	5.555555556	2900	5.37037037
10	C1-10	P3	Flat	ARE	MgCL2	ok	1	0	6	5400	6	3400	5.666666667	4300	5.119047619	2950	5.462962963	5050	5.611111111	2950	5.462962963
11	C1-11	P3	Flat	ARE	MgCL2	ok	1	0	5.888888889	5300	5.888888889	3350	5.583333333	4400	5.238095238	2950	5.462962963	5050	5.611111111	2950	5.462962963
12	C1-12	P3	Flat	ARE	MgCL2	ok	1	0	5.777777778	5200	5.777777778	3350	5.583333333	4350	5.178571429	2950	5.462962963	5050	5.611111111	2950	5.462962963
13	C2-1	P4	Flat	ARE	MgCL2	ok	1	0	5.777777778	5200	5.777777778	3300	5.5	4250	5.05952381	3050	5.648148148	4850	5.388888889	2800	5.185185185
14	C2-2	P4	Flat	ARE	MgCL2	ok	1	0	5.777777778	5200	5.777777778	3350	5.583333333	4300	5.119047619	2950	5.462962963	4850	5.388888889	2800	5.185185185
15	C2-3	P4	Flat	ARE	MgCL2	ok	1	0	5.777777778	5200	5.777777778	3400	5.666666667	4400	5.238095238	2950	5.462962963	4850	5.388888889	2800	5.185185185
16	C2-4	P4	Flat	ARE	MgCL2	ok	1	0	5.777777778	5200	5.777777778	3300	5.5	4350	5.178571429	3000	5.555555556	4950	5.5	2850	5.277777778
17	C2-5	P4	Flat	ARE	MgCL2	ok	1	0	5.833333333	5250	5.833333333	3300	5.5	4250	5.05952381	2950	5.462962963	4950	5.5	2850	5.277777778
18	C2-6	P4	Flat	ARE	MgCL2	ok	1	0	5.722222222	5150	5.722222222	3300	5.5	4300	5.119047619	3050	5.648148148	4950	5.5	2850	5.277777778
19	C2-7	P4	Flat	ARE	MgCL2	ok	1	0	5.777777778	5200	5.777777778	3300	5.5	4400	5.238095238	3100	5.740740741	5000	5.555555556	2900	5.37037037
20	C2-8	P4	Flat	ARE	MgCL2	ok	1	0	5.777777778	5200	5.777777778	3400	5.666666667	4350	5.178571429	2900	5.37037037	5000	5.555555556	2900	5.37037037
21	C2-9	P4	Flat	ARE	MgCL2	ok	1	0	5.944444444	5350	5.944444444	3300	5.5	4250	5.05952381	2950	5.462962963	5000	5.555555556	2900	5.37037037
22	C2-10	P4	Flat	ARE	MgCL2	ok	1	0	5.944444444	5350	5.944444444	3350	5.583333333	4400	5.238095238	3150	5.833333333	5050	5.611111111	2950	5.462962963
23	C2-11	P4	Flat	ARE	MgCL2	ok	1	0	5.777777778	5200	5.777777778	3350	5.583333333	4400	5.238095238	3000	5.555555556	5050	5.611111111	2950	5.462962963
24	C2-12	P4	Flat	ARE	MgCL2	ok	1	0	5.888888889	5300	5.888888889	3300	5.5	4400	5.238095238	2850	5.277777778	5050	5.611111111	2950	5.462962963
	C1-1	P3	Theeth	ARE	MgCL2	ok	1	0	5.888888889	5300	5.888888889	3300	5.5	4250	5.05952381	3150	5.833333333	5100	5.666666667	2800	5.185185185
	C1-2	P3	Theeth	ARE	MgCL2	ok	1	0	5.777777778	5200	5.777777778	3330	5.55	4300	5.119047619	3000	5.555555556	5100	5.666666667	2800	5.185185185
	C1-3	P3	Theeth	ARE	MgCL2	ok	1	0	5.777777778	5200	5.777777778	3300	5.5	4400	5.238095238	3100	5.740740741	5100	5.666666667	2800	5.185185185
	C1-4	P3	Theeth	ARE	MgCL2	ok	1	0	5.722222222	5150	5.722222222	3400	5.666666667	4400	5.238095238	2850	5.277777778	5150	5.722222222	2850	5.277777778
	C1-5	P3	Theeth	ARE	MgCL2	ok	1	0	5.833333333	5250	5.833333333	3300	5.5	4400	5.238095238	2900	5.37037037	5150	5.722222222	2850	5.277777778
	C1-6	P3	Theeth	ARE	MgCL2	ok	1	0	5.777777778	5200	5.777777778	3350	5.583333333	4300	5.119047619	3050	5.648148148	5150	5.722222222	2850	5.277777778
	C1-7	P3	Theeth	ARE	MgCL2	failed	0	0	5.777777778	5200	5.777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	C1-8	P3	Theeth	ARE	MgCL2	ok	1	0	5.833333333	5250	5.833333333	3350	5.583333333	4350	5.178571429	3000	5.555555556	5200	5.777777778	2900	5.37037037
	C1-9	P3	Theeth	ARE	MgCL2	ok	1	0	5.777777778	5200	5.777777778	3300	5.5	4250	5.05952381	3150	5.833333333	5200	5.777777778	2900	5.37037037
	C1-10	P3	Theeth	ARE	MgCL2	ok	1	0	5.833333333	5250	5.833333333	3300	5.5	4300	5.119047619	2850	5.277777778	5250	5.833333333	2950	5.462962963
	C1-11	P3	Theeth	ARE	MgCL2	ok	1	0	5.777777778	5200	5.777777778	3300	5.5	4400	5.238095238	3100	5.740740741	5250	5.833333333	2950	5.462962963
	C1-12	P3	Theeth	ARE	MgCL2	ok	1	0	5.944444444	5350	5.944444444	3300	5.5	4350	5.178571429	2900	5.37037037	5250	5.833333333	2950	5.462962963
	C2-1	P4	Theeth	ARE	MgCL2	ok	1	0	5.722222222	5150	5.722222222	3350	5.583333333	4250	5.05952381	2900	5.37037037	5100	5.666666667	2800	5.185185185
	C2-2	P4	Theeth	ARE	MgCL2	ok	1	0	5.944444444	5350	5.944444444	3350	5.583333333	4300	5.119047619	3050	5.648148148	5100	5.666666667	2800	5.185185185
	C2-3	P4	Theeth	ARE	MgCL2	ok	1	0	5.833333333	5250	5.833333333	3350	5.583333333	4400	5.238095238	3150	5.833333333	5100	5.666666667	2800	5.185185185
	C2-4	P4	Theeth	ARE	MgCL2	ok	1	0	5.777777778	5200	5.777777778	3300	5.5	4350	5.178571429	2950	5.462962963	5150	5.722222222	2850	5.277777778
	C2-5	P4	Theeth	ARE	MgCL2	ok	1	0	5.777777778	5200	5.777777778	3300	5.5	4250	5.05952381	3000	5.555555556	5150	5.722222222	2850	5.277777778
	C2-6	P4	Theeth	ARE	MgCL2	ok	1	0	5.833333333	5250	5.833333333	3400	5.666666667	4400	5.238095238	3100	5.740740741	5150	5.722222222	2850	5.277777778
	C2-7	P4	Theeth	ARE	MgCL2	ok	1	0	5.777777778	5200	5.777777778	3350	5.583333333	4400	5.238095238	2950	5.462962963	5200	5.777777778	2900	5.37037037
	C2-8	P4	Theeth	ARE	MgCL2	ok	1	0	5.944444444	5350	5.944444444	3300	5.5	4350	5.178571429	2900	5.37037037	5200	5.777777778	2900	5.37037037
	C2-9	P4	Theeth	ARE	MgCL2	failed	0	0	5.722222222	5150	5.722222222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	C2-10	P4	Theeth	ARE	MgCL2	ok	1	0	5.777777778	5200	5.777777778	3350	5.583333333	4300	5.119047619	3150	5.833333333	5250	5.833333333	2950	5.462962963
	C2-11	P4	Theeth	ARE	MgCL2	ok	1	0	5.888888889	5300	5.888888889	3350	5.583333333	4400	5.238095238	3050	5.648148148	5250	5.833333333	2950	5.462962963
	C2-12	P4	Theeth	ARE	MgCL2	ok	1	0	5.777777778	5200	5.777777778	3300	5.5	4350	5.178571429	2950	5.462962963	5250	5.833333333	2950	5.462962963
